Comment,Designator,Footprint,LCSC,Quantity
,_1,MountingHole_2.2mm_M2_Pad_Via,,1
,_2,MountingHole_2.2mm_M2_Pad_Via,,1
,_3,MountingHole_2.2mm_M2_Pad_Via,,1
,_4,MountingHole_2.2mm_M2_Pad_Via,,1
,_5,MountingHole_2.2mm_M2_Pad_Via,,1
