Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
_1,,MountingHole_2.2mm_M2_Pad_Via,159.0,-120.5,0.0,top
_2,,MountingHole_2.2mm_M2_Pad_Via,230.55,-115.5,0.0,top
_3,,MountingHole_2.2mm_M2_Pad_Via,159.0,-154.5,0.0,top
_4,,MountingHole_2.2mm_M2_Pad_Via,230.55,-149.5,0.0,top
_5,,MountingHole_2.2mm_M2_Pad_Via,254.212774,-174.490193,-15.0,top
